ID,Tarea,Descripción,Estimación (horas),Prioridad,Semana
S0-01,Inventariar funcionalidades actuales - Clientes,Documentar todas las operaciones CRUD y flujos relacionados con la gestión de clientes en el sistema actual,3,Alta,1
S0-02,Inventariar funcionalidades actuales - Ingredientes,Documentar todas las operaciones CRUD y flujos relacionados con la gestión de ingredientes,3,Alta,1
S0-03,Inventariar funcionalidades actuales - Menús,Documentar todas las operaciones CRUD y flujos relacionados con la gestión de menús y sus relaciones con ingredientes,3,Alta,1
S0-04,Inventariar funcionalidades actuales - Pedidos,Documentar todas las operaciones CRUD y flujos relacionados con la gestión de pedidos,3,Alta,1
S0-05,Inventariar funcionalidades actuales - Gráficos,Documentar los tipos de informes y visualizaciones actualmente generados por el sistema,2,Media,1
S0-06,Mapear flujo de trabajo - Toma de pedidos,Crear diagrama detallado del proceso actual de toma y gestión de pedidos,2,Alta,1
S0-07,Mapear flujo de trabajo - Gestión de inventario,Crear diagrama detallado del proceso actual de actualización de inventario,2,Alta,1
S0-08,Identificar puntos débiles - UI/UX,Documentar limitaciones de interfaz y experiencia de usuario en el sistema actual,2,Media,1
S0-09,Identificar puntos débiles - Arquitectura,Documentar problemas de la arquitectura actual que afectan la escalabilidad,2,Alta,1
S0-10,Evaluar código actual - Patterns,Analizar qué patrones de diseño se están utilizando y cuáles se deberían implementar,3,Media,1
S0-11,Definir arquitectura Clean Architecture,Establecer la estructura de capas (presentación casos de uso dominio infraestructura) para el nuevo sistema,5,Alta,2
S0-12,Diseñar modelo ER para módulo de delivery,Crear diagrama entidad-relación para el nuevo módulo de integración con apps de delivery,3,Alta,2
S0-13,Diseñar modelo ER para módulo de pagos,Crear diagrama entidad-relación para el nuevo módulo de gestión de pagos,3,Alta,2
S0-14,Especificar patrones a implementar,Documentar qué patrones de diseño se utilizarán en cada componente del sistema,2,Alta,2
S0-15,Definir convenciones de código,Establecer reglas de nomenclatura estructura y formateo de código para Backend y Frontend,1,Media,2
S0-16,Definir herramientas y tecnologías,Seleccionar versiones específicas de Django React y otras bibliotecas a utilizar,1,Media,2
S0-17,Configurar repositorio de código,Crear estructura de repositorio y definir estrategia de branching,2,Alta,2
S0-18,Diseñar estrategia de migración de datos,Planificar cómo se migrarán los datos del sistema actual al nuevo,3,Alta,2
S0-19,Crear documento de pruebas,Definir estrategia y tipos de pruebas a implementar (unitarias integración E2E),2,Media,2
S0-20,Elaborar plan de sprints,Detallar tareas principales de los siguientes sprints con sus dependencias,3,Alta,2
S1-01,Configurar proyecto Django base,Inicializar proyecto Django con estructura de carpetas siguiendo Clean Architecture,3,Alta,3
S1-02,Configurar entorno de desarrollo,Configurar entornos de desarrollo pruebas y producción para Django con variables de entorno,2,Alta,3
S1-03,Implementar primera migración Django,Establecer la conexión a la base de datos y ejecutar la migración inicial,2,Alta,3
S1-04,Definir estructura de interfaces de Repository,Crear interfaces abstractas para el patrón Repository en cada entidad,3,Alta,3
S1-05,Configurar sistema de logging,Implementar sistema centralizado de logging para capturar errores y eventos importantes,2,Media,3
S1-06,Inicializar proyecto React,Configurar proyecto React con Create React App o Next.js,3,Alta,3
S1-07,Establecer sistema de estilos CSS,Configurar biblioteca de estilos (Styled Components Material UI o Tailwind),2,Media,3
S1-08,Configurar ESLint y Prettier,Establecer reglas de linting y formateo para mantener coherencia en el código,1,Media,3
S1-09,Definir estructura de carpetas frontend,Organizar estructura de carpetas siguiendo arquitectura limpia en frontend,2,Alta,3
S1-10,Configurar sistema de rutas,Implementar React Router para la navegación entre páginas,2,Alta,3
S1-11,Migrar modelo Cliente,Crear modelo Django para Cliente y su correspondiente migración,3,Alta,4
S1-12,Implementar ClienteRepository,Crear implementación concreta del patrón Repository para Cliente,3,Alta,4
S1-13,Crear tests unitarios para ClienteRepository,Escribir pruebas automatizadas para el repositorio de clientes,2,Media,4
S1-14,Implementar ClienteService,Desarrollar la capa de servicio para la lógica de negocio de clientes,3,Alta,4
S1-15,Crear API endpoints para Clientes,Implementar endpoints RESTful para operaciones CRUD de clientes,3,Alta,4
S1-16,Implementar autenticación JWT,Configurar sistema de autenticación basado en tokens JWT,4,Alta,4
S1-17,Crear componente ClienteList,Desarrollar componente React para listar clientes,3,Alta,4
S1-18,Crear componente ClienteForm,Desarrollar componente React para crear/editar clientes,3,Alta,4
S1-19,Implementar conexión API-Frontend para Clientes,Configurar servicios para consumir API de clientes desde React,2,Alta,4
S1-20,Implementar manejo de errores en frontend,Crear sistema para mostrar errores de API de manera amigable,2,Media,4
S1-21,Migrar modelo Ingrediente,Crear modelo Django para Ingrediente y su correspondiente migración,3,Alta,5
S1-22,Implementar IngredienteRepository,Crear implementación concreta del patrón Repository para Ingrediente,3,Alta,5
S1-23,Crear tests unitarios para IngredienteRepository,Escribir pruebas automatizadas para el repositorio de ingredientes,2,Media,5
S1-24,Implementar IngredienteService,Desarrollar la capa de servicio para la lógica de negocio de ingredientes,3,Alta,5
S1-25,Crear API endpoints para Ingredientes,Implementar endpoints RESTful para operaciones CRUD de ingredientes,3,Alta,5
S1-26,Implementar sistema de alertas de stock,Desarrollar mecanismo para alertar cuando ingredientes alcancen nivel crítico,3,Media,5
S1-27,Crear componente IngredienteList,Desarrollar componente React para listar ingredientes,3,Alta,5
S1-28,Crear componente IngredienteForm,Desarrollar componente React para crear/editar ingredientes,3,Alta,5
S1-29,Implementar filtros de ingredientes,Crear controles para filtrar ingredientes por categoría stock etc,2,Media,5
S1-30,Implementar conexión API-Frontend para Ingredientes,Configurar servicios para consumir API de ingredientes desde React,2,Alta,5
S1-31,Migrar modelo Menu y MenuIngrediente,Crear modelos Django y establecer relaciones,4,Alta,6
S1-32,Implementar MenuRepository,Crear implementación concreta del patrón Repository para Menu,3,Alta,6
S1-33,Crear tests unitarios para MenuRepository,Escribir pruebas automatizadas para el repositorio de menús,2,Media,6
S1-34,Implementar MenuService,Desarrollar la capa de servicio para la lógica de negocio de menús,3,Alta,6
S1-35,Crear API endpoints para Menús,Implementar endpoints RESTful para operaciones CRUD de menús,3,Alta,6
S1-36,Implementar verificación automática de disponibilidad,Desarrollar lógica para verificar disponibilidad de ingredientes para menús,3,Alta,6
S1-37,Crear componente MenuList,Desarrollar componente React para listar menús disponibles,3,Alta,6
S1-38,Crear componente MenuForm,Desarrollar componente React para crear/editar menús,4,Alta,6
S1-39,Implementar selector de ingredientes para menús,Crear interfaz para agregar/eliminar ingredientes al crear menús,3,Alta,6
S1-40,Preparar presentación de cierre de Sprint 1,Documentar progreso realizar demo y planificar siguiente sprint,2,Media,6
S2-01,Migrar modelo Pedido,Crear modelo Django para Pedido con todas sus relaciones y su correspondiente migración,3,Alta,7
S2-02,Implementar PedidoRepository,Desarrollar implementación concreta del patrón Repository para la entidad Pedido,3,Alta,7
S2-03,Crear tests unitarios para PedidoRepository,Escribir pruebas automatizadas que validen la funcionalidad del repositorio,2,Media,7
S2-04,Implementar PedidoService,Desarrollar la capa de servicio para la lógica de negocio relacionada con pedidos,3,Alta,7
S2-05,Crear API endpoints para Pedidos,Implementar endpoints RESTful para operaciones CRUD de pedidos,3,Alta,7
S2-06,Desarrollar algoritmo de descuento automático de ingredientes,Crear función que actualice automáticamente el inventario al confirmar un pedido,3,Alta,7
S2-07,Crear componente PedidoList,Desarrollar componente React para listar pedidos existentes,3,Alta,7
S2-08,Crear componente PedidoForm,Desarrollar componente React para crear/editar pedidos,3,Alta,7
S2-09,Implementar filtros de pedidos,Crear controles para filtrar pedidos por cliente fecha estado,2,Media,7
S2-10,Implementar conexión API-Frontend para Pedidos,Configurar servicios para consumir API de pedidos desde React,2,Alta,7
S2-11,Diseñar modelo Mesa,Crear modelo Django para gestión de mesas del restaurante,2,Alta,8
S2-12,Implementar MesaRepository,Desarrollar implementación concreta del patrón Repository para mesas,2,Alta,8
S2-13,Crear tests unitarios para MesaRepository,Escribir pruebas automatizadas que validen la funcionalidad del repositorio de mesas,2,Media,8
S2-14,Implementar MesaService,Desarrollar la capa de servicio para la lógica de negocio de mesas,3,Alta,8
S2-15,Crear API endpoints para Mesas,Implementar endpoints RESTful para operaciones CRUD de mesas,3,Alta,8
S2-16,Implementar sistema de estados de Mesa,Desarrollar lógica para manejar distintos estados (libre ocupada reservada),3,Alta,8
S2-17,Crear componente MesaMap,Desarrollar componente React para visualización gráfica de mesas,4,Alta,8
S2-18,Implementar funcionalidad drag-and-drop,Desarrollar sistema para asignar clientes a mesas mediante arrastrar y soltar,4,Media,8
S2-19,Crear componente MesaStatus,Desarrollar componente para visualizar y cambiar estado de mesas individualmente,3,Alta,8
S2-20,Implementar contador de tiempo por mesa,Crear función para registrar tiempo de ocupación de cada mesa,2,Media,8
S2-21,Diseñar modelos para Delivery,Crear modelos DeliveryApp DeliveryPedido y DeliveryRepartidor,3,Alta,9
S2-22,Implementar DeliveryRepository,Crear implementación concreta del patrón Repository para pedidos delivery,3,Alta,9
S2-23,Crear tests unitarios para DeliveryRepository,Escribir pruebas automatizadas para el repositorio de delivery,2,Media,9
S2-24,Implementar DeliveryService,Desarrollar capa de servicio con lógica de negocio para delivery,3,Alta,9
S2-25,Crear API endpoints para Delivery,Implementar endpoints RESTful para operaciones de delivery,3,Alta,9
S2-26,Implementar simulador básico de API delivery,Desarrollar mock para simular interacción con plataformas externas,4,Alta,9
S2-27,Crear componente DeliveryDashboard,Desarrollar panel de control para visualizar pedidos de delivery,3,Alta,9
S2-28,Implementar sistema de notificaciones,Crear sistema para alertar sobre nuevos pedidos de delivery,3,Media,9
S2-29,Integrar delivery con inventario,Asegurar que pedidos delivery impacten correctamente en el stock,2,Alta,9
S2-30,Implementar función de aceptar/rechazar pedidos,Desarrollar mecanismo para gestionar pedidos entrantes de delivery,2,Alta,9
S2-31,Diseñar modelos para sistema de Pagos,Crear modelos MedioPago Transaccion y EstadoTransaccion,3,Alta,10
S2-32,Implementar PagosRepository,Crear implementación concreta del patrón Repository para pagos,3,Alta,10
S2-33,Crear tests unitarios para PagosRepository,Escribir pruebas automatizadas para el repositorio de pagos,2,Media,10
S2-34,Implementar PagosService,Desarrollar capa de servicio con lógica de negocio para pagos,3,Alta,10
S2-35,Crear API endpoints para Pagos,Implementar endpoints RESTful para operaciones de pagos,3,Alta,10
S2-36,Implementar simulador de tarjeta de crédito,Desarrollar mock para procesamiento de pagos con tarjeta,3,Media,10
S2-37,Implementar simulador de transferencia,Desarrollar mock para procesamiento de transferencias bancarias,3,Media,10
S2-38,Integrar pagos con pedidos,Modificar modelo Pedido para incluir referencias a transacciones,3,Alta,10
S2-39,Crear componente PagosForm,Desarrollar interfaz para procesar diferentes tipos de pagos,3,Alta,10
S2-40,Preparar presentación de cierre de Sprint 2,Documentar progreso realizar demo y planificar siguiente sprint,2,Media,10
S3-01,Diseñar estructura del Dashboard,Definir layout y secciones del dashboard analítico,3,Alta,11
S3-02,Implementar endpoints de métricas,Crear endpoints para proveer datos analíticos al dashboard,4,Alta,11
S3-03,Crear servicio de agregación de datos,Desarrollar lógica de negocio para cálculo de KPIs,4,Alta,11
S3-04,Implementar gráfico de ventas por fecha,Desarrollar visualización de tendencias de ventas temporales,3,Alta,11
S3-05,Implementar gráfico de menús populares,Desarrollar visualización de popularidad de platos,3,Alta,11
S3-06,Implementar gráfico de uso de ingredientes,Desarrollar visualización de consumo de ingredientes,3,Alta,11
S3-07,Crear filtros dinámicos para gráficos,Implementar controles para personalizar rango de fechas y otros criterios,3,Media,11
S3-08,Implementar cálculo de KPI de rotación de mesas,Desarrollar lógica para medir eficiencia en uso de mesas,2,Media,11
S3-09,Implementar KPI de tiempo promedio de servicio,Desarrollar lógica para medir tiempos entre orden y entrega,2,Media,11
S3-10,Crear componentes para mostrar KPIs,Desarrollar visualizaciones para indicadores clave del negocio,3,Alta,11
